"Prestador de serviço";"Exames";"Ins:mat. acelular";"Ins:pres. sangue";"Ins:pres. piocitos";"Ins:pres.art.desec";"Ins:pres.cont.exte";"Ins:pres.sup.celul";"Ins:Outros";" ASC-US";" ASC-H";"Les IE Baixo Grau";"Les IEp Alto Grau";"Exames Alterados"
"2223066 ETHICA";"5274";"17";"27";"1";"32";"0";"1";"0";"30";"11";"34";"3";"85"
"2223155 CENTRAL DE EXAMES COMPLEMENTARES";"17885";"25";"47";"6";"4";"0";"2";"6";"92";"75";"23";"25";"216"
"2225794 HISTOMED";"3445";"1";"0";"1";"0";"0";"0";"1";"89";"10";"26";"5";"133"
"2227878 LABORATORIO CITOLAB LTDA";"4186";"0";"0";"0";"0";"0";"0";"0";"79";"8";"31";"7";"125"
"2229730 CDC NH";"13139";"15";"6";"25";"236";"7";"2";"4";"54";"12";"70";"39";"200"
"2233576 LABORATORIO SANTA LUCIA CACAPAVA DO SUL";"2065";"3";"4";"5";"9";"0";"0";"0";"53";"28";"15";"11";"111"
"2237121 HOSPITAL SANATORIO PARTENON";"1387";"2";"3";"2";"1";"0";"0";"0";"18";"3";"7";"4";"36"
"2239302 MOREIRA JUNIOR LABORATORIO DE PAT E CIT EIRELI";"8476";"11";"4";"1";"0";"0";"0";"10";"5";"3";"0";"2";"11"
"2239450 CPM CENTRO DE PATOLOGIA MEDICA";"12696";"12";"1";"2";"0";"0";"0";"1";"125";"46";"42";"43";"291"
"2242001 LABORATORIO PASIN";"3489";"14";"3";"4";"3";"0";"0";"0";"37";"1";"10";"1";"49"
"2242257 LABIVIDA LABORATORIO DE ANALISES CLINICAS";"11769";"9";"4";"5";"13";"0";"5";"1";"134";"15";"57";"27";"248"
"2243229 LABORATORIO DR TUIUTI LEANDRO GUERRA";"5294";"2";"12";"22";"0";"0";"1";"0";"105";"28";"58";"74";"267"
"2243385 LABIMED ANALISES CLINICAS PINHEIRO";"2291";"3";"3";"3";"18";"0";"0";"0";"17";"3";"6";"9";"40"
"2245078 LABORATORIO BIOS SOLEDADE";"6070";"7";"0";"1";"0";"0";"0";"0";"6";"0";"8";"5";"21"
"2245167 ALPHA LABORATORIOS MARAU";"5469";"5";"1";"0";"7";"0";"0";"0";"90";"31";"63";"17";"213"
"2245213 INSTITUTO DE PATOLOGIA DE PASSO FUNDO E OU IPPF";"21847";"7";"9";"10";"21";"0";"4";"34";"461";"82";"181";"117";"897"
"2246988 HOSPITAL SAO VICENTE DE PAULO";"575";"1";"1";"1";"0";"0";"0";"0";"11";"1";"9";"5";"32"
"2249308 MEDICINA DIAGNOSTICA";"11588";"9";"2";"0";"0";"0";"0";"0";"235";"36";"159";"23";"465"
"2252287 HOSPITAL BRUNO BORN";"231";"0";"0";"0";"0";"0";"0";"0";"6";"4";"2";"1";"17"
"2252953 SERVICO ESPECIALIZADO DE GINECOLOGIA LTDA";"14066";"69";"23";"0";"3";"0";"0";"1";"1";"1";"46";"3";"51"
"2254433 LABORATORIO DE PATOLOGIA NOROESTE LTDA";"16000";"35";"27";"62";"82";"1";"7";"0";"72";"11";"45";"14";"201"
"2255634 LABORATORIO SANTA CRUZ";"6293";"26";"16";"2";"1";"0";"0";"0";"44";"14";"23";"9";"96"
"2255847 LABORATORIO DE PATOLOGIA ROCHA E GONZATTI";"6854";"0";"0";"0";"0";"0";"0";"0";"47";"2";"55";"1";"109"
"2261057 HOSPITAL DE CARIDADE DE IJUI";"260";"0";"0";"0";"0";"0";"0";"0";"18";"1";"1";"1";"25"
"2261987 SANTA CASA DE CARIDADE DE BAGE";"7881";"11";"76";"86";"435";"0";"0";"0";"66";"14";"19";"9";"112"
"2262843 INSTITUTO DE GINECOLOGIA";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"2707675 HOSPITAL UNIVERSITARIO DR MIGUEL RIET CORREA JR";"2649";"2";"11";"9";"36";"6";"8";"1";"84";"23";"43";"41";"233"
"2707969 HOSPITAL BENEFICIENTE SANTA LUZIA";"4672";"22";"1";"0";"10";"1";"0";"4";"25";"6";"14";"6";"60"
"3488330 LABORATORIO DE PATOLOGIA ROCHA E GONZATTI LTDA";"6135";"2";"0";"0";"0";"0";"0";"0";"29";"0";"46";"2";"81"
"3508528 HOSPITAL UNIVERSITARIO";"2992";"3";"4";"4";"0";"2";"0";"0";"9";"1";"50";"9";"78"
"3691314 LABORATORIO DE CITOPATOLOGIA";"3070";"1";"0";"1";"0";"0";"0";"0";"51";"7";"39";"5";"104"
"3771016 DIAGNOSE";"5595";"6";"8";"2";"2";"0";"0";"0";"176";"39";"79";"31";"330"
"3883965 CLINICA DEWES";"7208";"6";"2";"0";"0";"0";"0";"0";"64";"39";"37";"44";"208"
"3971945 LABORATORIO DIAGNOSTIKA";"1209";"0";"0";"0";"0";"0";"0";"0";"6";"5";"17";"3";"32"
