"Prestador de serviço";"Exames";"Ins:mat. acelular";"Ins:pres. sangue";"Ins:pres. piocitos";"Ins:pres.art.desec";"Ins:pres.cont.exte";"Ins:pres.sup.celul";"Ins:Outros";" ASC-US";" ASC-H";"Les IE Baixo Grau";"Les IEp Alto Grau";"Exames Alterados"
"0013234 LABORATORIO DE ANALISES CLINICAS ALMIRANTE TAMANDARE";"7048";"38";"94";"130";"91";"1";"40";"24";"249";"39";"80";"20";"416"
"0015334 HOSPITAL SANTA CASA DE CURITIBA";"245";"0";"0";"0";"0";"0";"0";"0";"1";"0";"3";"1";"8"
"0015644 HOSPITAL ERASTO GAERTNER";"17296";"62";"19";"32";"13";"1";"11";"2";"259";"94";"123";"176";"739"
"0015679 LABORATORIO ANALISA";"4169";"5";"3";"1";"3";"0";"1";"1";"15";"4";"10";"0";"31"
"0015989 LABORATORIO OSVALDO ZORNIG LTDA";"12096";"35";"12";"19";"128";"0";"17";"1";"141";"60";"83";"50";"374"
"0016055 LABORCENTRO";"14675";"11";"4";"0";"4";"0";"0";"0";"161";"82";"64";"20";"333"
"0016136 PATOLOGISTAS ASSOCIADOS";"22567";"19";"4";"2";"1";"0";"1";"4";"239";"41";"95";"20";"402"
"0016179 CENTRO DE PATOLOGIA DE CURITIBA";"9437";"6";"2";"1";"0";"0";"0";"0";"161";"24";"59";"43";"297"
"0016357 LABORATORIO ANNALAB";"21740";"23";"14";"4";"12";"0";"0";"3";"222";"30";"44";"32";"341"
"0016446 NEOPATH PATOLOGIA DIAGNOSTICA";"23865";"12";"5";"0";"0";"0";"0";"1";"170";"19";"29";"29";"251"
"2384299 COMPLEXO HOSPITAL DE CLINICAS";"2533";"11";"17";"0";"0";"0";"0";"6";"133";"37";"42";"23";"281"
"2439069 ZNA ANATOMIA PATOLOGICA E CITOPATOLOGIA";"10173";"0";"0";"0";"0";"0";"0";"42";"0";"3";"10";"5";"19"
"2439093 L B LABORATORIO";"14861";"9";"6";"5";"1";"0";"0";"15";"198";"37";"131";"53";"426"
"2439425 LABORATORIO SAO FRANCISCO";"10524";"102";"38";"106";"51";"0";"43";"68";"105";"23";"51";"8";"190"
"2567881 LABORATORIO DR MAURICIO";"8119";"6";"7";"0";"4";"0";"6";"3";"355";"18";"14";"2";"406"
"2577623 HCL HOSPITAL DO CANCER DE LONDRINA";"36994";"18";"4";"1";"8";"0";"0";"3";"45";"41";"157";"135";"392"
"2577682 MICROPAR";"13881";"3";"0";"2";"0";"14";"1";"0";"93";"34";"50";"48";"240"
"2578476 CLINILAB";"10997";"10";"0";"0";"3";"0";"0";"0";"44";"24";"12";"25";"132"
"2586533 LEPAC LABORATORIO DE ENSINO E PESQUISA EM ANALISES CLINICA";"4275";"0";"0";"0";"0";"0";"0";"0";"126";"8";"46";"4";"188"
"2591111 INCELL";"13396";"26";"1";"0";"6";"0";"0";"0";"18";"13";"29";"32";"93"
"2594021 INSTITUTO INTERNACIONAL DE PATOLOGIA";"14188";"7";"5";"1";"0";"0";"0";"0";"46";"35";"39";"40";"173"
"2594439 PREVENCAO DIAGNOSE";"6010";"9";"2";"0";"1";"0";"0";"0";"39";"49";"45";"23";"174"
"2639637 DIAGNOSE";"27367";"24";"3";"1";"2";"2";"0";"0";"216";"69";"88";"59";"477"
"2639661 CITOPAR";"43375";"69";"11";"0";"22";"1";"0";"10";"454";"124";"110";"41";"780"
"2698552 EXAME CENTRO DE DIAGNOSTICOS";"15232";"13";"36";"17";"1";"0";"0";"0";"112";"28";"258";"46";"472"
