"Prestador de serviço";"Exames";"Ins:mat. acelular";"Ins:pres. sangue";"Ins:pres. piocitos";"Ins:pres.art.desec";"Ins:pres.cont.exte";"Ins:pres.sup.celul";"Ins:Outros";" ASC-US";" ASC-H";"Les IE Baixo Grau";"Les IEp Alto Grau";"Exames Alterados"
"2223155 CENTRAL DE EXAMES COMPLEMENTARES";"17705";"25";"38";"15";"6";"1";"3";"0";"202";"92";"43";"27";"365"
"2225794 HISTOMED";"3551";"1";"0";"0";"0";"0";"0";"0";"93";"9";"24";"4";"131"
"2229730 CDC NH";"11477";"10";"7";"36";"138";"2";"7";"3";"71";"23";"80";"32";"225"
"2231786 CGC VIAMAO";"51854";"8";"1";"1";"1";"0";"0";"13";"26";"10";"117";"101";"284"
"2233576 LABORATORIO SANTA LUCIA CACAPAVA DO SUL";"2010";"7";"1";"0";"8";"0";"0";"1";"74";"28";"6";"13";"126"
"2237121 HOSPITAL SANATORIO PARTENON";"906";"1";"0";"1";"1";"0";"0";"0";"21";"2";"4";"2";"29"
"2239450 CPM CENTRO DE PATOLOGIA MEDICA";"14365";"12";"2";"5";"0";"2";"0";"12";"114";"44";"63";"56";"290"
"2242001 LABORATORIO PASIN";"3998";"14";"15";"9";"12";"0";"1";"0";"74";"2";"5";"1";"83"
"2242257 LABIVIDA LABORATORIO DE ANALISES CLINICAS";"12918";"11";"5";"2";"10";"0";"1";"0";"188";"28";"95";"44";"383"
"2243229 LABORATORIO DR TUIUTI LEANDRO GUERRA";"4682";"3";"14";"19";"7";"0";"0";"2";"72";"40";"45";"46";"207"
"2243385 LABIMED ANALISES CLINICAS PINHEIRO";"1186";"4";"3";"1";"2";"0";"0";"0";"3";"1";"4";"4";"13"
"2245078 LABORATORIO BIOS SOLEDADE";"5744";"6";"1";"0";"0";"0";"0";"2";"24";"3";"16";"10";"56"
"2245167 ALPHA LABORATORIOS MARAU";"5491";"3";"0";"1";"8";"0";"0";"0";"91";"31";"41";"11";"183"
"2245213 INSTITUTO DE PATOLOGIA DE PASSO FUNDO E OU IPPF";"20664";"33";"29";"25";"119";"0";"2";"158";"104";"44";"73";"46";"285"
"2246988 HOSPITAL SAO VICENTE DE PAULO";"737";"0";"0";"0";"0";"0";"0";"0";"28";"0";"11";"5";"51"
"2249308 MEDICINA DIAGNOSTICA";"11877";"3";"5";"1";"6";"1";"0";"4";"268";"85";"243";"32";"643"
"2252287 HOSPITAL BRUNO BORN";"195";"0";"0";"0";"0";"0";"0";"0";"12";"0";"0";"0";"12"
"2252953 SERVICO ESPECIALIZADO DE GINECOLOGIA LTDA";"7156";"73";"13";"0";"0";"0";"0";"0";"0";"0";"20";"2";"22"
"2254433 LABORATORIO DE PATOLOGIA NOROESTE LTDA";"14875";"45";"65";"29";"71";"0";"1";"2";"70";"13";"43";"18";"167"
"2255634 LABORATORIO SANTA CRUZ";"5791";"20";"20";"0";"3";"0";"0";"0";"74";"15";"19";"12";"136"
"2255847 LABORATORIO DE PATOLOGIA ROCHA E GONZATTI";"8640";"0";"0";"0";"0";"0";"0";"1";"48";"2";"65";"0";"121"
"2261057 HOSPITAL DE CARIDADE DE IJUI";"445";"0";"2";"2";"0";"0";"0";"0";"18";"7";"6";"0";"36"
"2261987 SANTA CASA DE CARIDADE DE BAGE";"7294";"6";"98";"47";"514";"0";"0";"0";"113";"16";"33";"18";"190"
"2707675 HOSPITAL UNIVERSITARIO DR MIGUEL RIET CORREA JR";"2742";"7";"17";"4";"46";"0";"5";"0";"109";"20";"50";"19";"205"
"2707969 HOSPITAL BENEFICIENTE SANTA LUZIA";"3863";"4";"0";"0";"2";"1";"0";"0";"75";"9";"46";"11";"143"
"3488330 LABORATORIO DE PATOLOGIA ROCHA E GONZATTI LTDA";"7843";"5";"0";"0";"0";"0";"0";"0";"35";"1";"26";"3";"71"
"3508528 HOSPITAL UNIVERSITARIO";"14202";"4";"0";"0";"0";"3";"0";"0";"304";"34";"117";"34";"588"
"3691314 LABORATORIO DE CITOPATOLOGIA";"2964";"8";"2";"1";"1";"0";"0";"0";"64";"4";"48";"10";"130"
"3771016 DIAGNOSE";"7238";"5";"0";"3";"4";"0";"0";"0";"137";"18";"56";"25";"238"
"3883965 CLINICA DEWES";"5349";"7";"0";"0";"2";"0";"0";"1";"76";"36";"45";"27";"198"
"3971945 LABORATORIO DIAGNOSTIKA";"822";"0";"0";"0";"0";"0";"0";"0";"6";"1";"12";"2";"21"
"5210917 BIOANALISE WM";"3048";"1";"2";"2";"19";"9";"1";"2";"31";"11";"13";"3";"68"
"5258138 EDELWEISS CLINICA DE DIAGNOSTICOS";"27583";"16";"24";"8";"37";"2";"2";"0";"356";"54";"100";"43";"597"
"5329922 CENTRO DE MEDICINA DIAGNOSTICA";"9234";"17";"11";"3";"20";"1";"10";"1";"103";"28";"71";"23";"232"
"5362423 BIOCITO";"4934";"9";"8";"7";"0";"0";"1";"0";"60";"21";"9";"12";"102"
"5753058 LABORATORIO DE PATOLOGIA ROCHA E GONZATTI LTDA";"8604";"1";"1";"0";"3";"0";"0";"0";"56";"3";"57";"1";"124"
"5851009 ICAP";"10636";"0";"4";"3";"0";"0";"0";"0";"301";"95";"88";"49";"544"
"5893046 LABORATORIO NUCLEO";"5338";"0";"0";"0";"0";"0";"0";"0";"48";"13";"42";"20";"128"
"6123791 MEDICINA DIAGNOSTICA";"8785";"3";"4";"2";"3";"0";"0";"1";"116";"40";"100";"24";"290"
"6248624 LABORATORIO LABSUL";"13559";"6";"5";"3";"6";"1";"0";"1";"432";"13";"81";"9";"592"
"6258603 LABORATORIO OSVALDO CRUZ BOSSOROCA";"5566";"2";"0";"0";"0";"0";"0";"0";"57";"11";"40";"4";"113"
"6269680 INSTITUTO DE ANATOMIA PATOLOGIA E CITOPATOLOGIA DKJ";"22429";"13";"11";"4";"28";"7";"0";"2";"666";"25";"16";"8";"782"
"6534694 LABORATORIO CITO";"13542";"3";"2";"0";"10";"1";"0";"0";"168";"10";"91";"17";"288"
"6771114 CITOMED LABORATORIO DE CITOLOGIA CLINICA LTDA";"3880";"1";"3";"5";"19";"0";"0";"0";"209";"8";"62";"9";"296"
"7160518 LABORATORIO DE ANALISES CLINICAS SANTIAGO DO BOQUEIRAO LTDA";"2115";"7";"7";"12";"45";"13";"4";"2";"117";"12";"11";"2";"153"
"7176090 LAB ANATOP CITOP ZANELLA LTDA";"25110";"47";"105";"288";"328";"7";"97";"226";"298";"20";"202";"47";"579"
"9379541 CITOLABOR";"1060";"0";"2";"0";"0";"1";"0";"0";"6";"1";"3";"2";"13"
"Total";"424007";"451";"527";"539";"1479";"52";"135";"434";"5618";"983";"2442";"888";"10533"
