"Prestador de serviço";"Rejeitada";"Satisfatória";"Insatisfatória";" Total"
"0013234 LABORATORIO DE ANALISES CLINICAS ALMIRANTE TAMANDARE";"16";"11656";"494";"12166"
"0015644 HOSPITAL ERASTO GAERTNER";"0";"18633";"124";"18757"
"0015679 LABORATORIO ANALISA";"2";"5457";"13";"5472"
"0015989 LABORATORIO OSVALDO ZORNIG LTDA";"222";"6130";"200";"6552"
"0016136 PATOLOGISTAS ASSOCIADOS";"6";"23397";"26";"23429"
"0016179 CENTRO DE PATOLOGIA DE CURITIBA";"0";"8663";"15";"8678"
"0016357 LABORATORIO ANNALAB";"0";"20608";"13";"20621"
"0016446 NEOPATH PATOLOGIA DIAGNOSTICA";"0";"22878";"42";"22920"
"0017876 CIS CONIMS";"0";"70";"0";"70"
"2384299 COMPLEXO HOSPITAL DE CLINICAS";"0";"1836";"10";"1846"
"2439069 ZNA ANATOMIA PATOLOGICA E CITOPATOLOGIA";"3";"9781";"57";"9841"
"2439093 L B LABORATORIO";"3";"13586";"34";"13623"
"2439425 LABORATORIO SAO FRANCISCO";"17";"17893";"246";"18156"
"2567881 LABORATORIO DR MAURICIO";"13";"8926";"25";"8964"
"2577623 HCL HOSPITAL DO CANCER DE LONDRINA";"1";"30020";"37";"30058"
"2577682 MICROPAR";"0";"13475";"17";"13492"
"2578476 CLINILAB";"1";"11236";"10";"11247"
"2586533 LEPAC LABORATORIO DE ENSINO E PESQUISA EM ANALISES CLINICA";"5";"3008";"7";"3020"
"2591111 INCELL";"3";"12934";"12";"12949"
"2594439 PREVENCAO DIAGNOSE";"0";"6440";"11";"6451"
"2639637 DIAGNOSE";"0";"28099";"41";"28140"
"2639661 CITOPAR";"9";"52646";"91";"52746"
"2698552 EXAME CENTRO DE DIAGNOSTICOS";"0";"15819";"123";"15942"
"2729822 LABORMED ROLANDIA";"8";"5403";"11";"5422"
"2731940 CIALAB";"1";"9941";"12";"9954"
"2734230 LABORATORIO SANTA TEREZINHA";"0";"28994";"163";"29157"
"2738368 HOSPITAL UNIVERSITARIO DO OESTE DO PARANA";"0";"195";"7";"202"
"2738589 LABORATORIO APC CASCAVEL";"14";"7571";"12";"7597"
"2741989 HOSPITAL DE CARIDADE SAO VICENTE DE PAULO";"0";"157";"0";"157"
"2754053 LABORATORIO PASTEUR LTDA";"0";"1647";"2";"1649"
"2781859 HOSPITAL UNIVERSITARIO REGIONAL DO NORTE DO PARANA";"0";"476";"7";"483"
"2783010 PATOLOGIA MEDICA DIAGNOSTICO PESQUISA E CONSULTORIA";"17";"14914";"9";"14940"
"3087751 LABORATORIO MASTER";"0";"21935";"23";"21958"
"3141195 CPD CITOLOGIA E PATOLOGIA DIAGNOSTICA";"0";"5930";"12";"5942"
"3155986 LABORATORIO SAO MARCOS";"33";"5782";"10";"5825"
"3510247 CITOPAT PRESTADORA SERV MEDICO LAUDOS DE PATOLOGIA S C";"0";"13647";"9";"13656"
"3554309 HISTOCENTER CENTRO DE ANATOMIA PAT E CITOPATOLOGIA";"0";"25123";"23";"25146"
"3823962 PHD PATOLOGIA HUMANA DIAGNOSTICA";"0";"17000";"201";"17201"
"5205905 PREVENCAO E DIAGNOSE";"6";"5158";"29";"5193"
"5662648 LABBOS";"11";"11077";"51";"11139"
"5664675 PHD";"0";"15451";"17";"15468"
"5931622 CENTRO DE DIAGNOSTICO SANTA CLARA";"7";"13176";"12";"13195"
"5991080 LABORATORIO VITA LAB";"78";"21523";"61";"21662"
"6019641 LABORATORIO PREVENCAO E DIAGNOSE";"1";"15757";"62";"15820"
"6694349 PREV IN CITO";"25";"10150";"110";"10285"
"6794858 CENTRO DE APOIO EM PATOLOGIA DE GUARAPUAVA";"0";"11507";"13";"11520"
"6820158 LABORATORIO PASTEUR DE PATOLOGIA";"5";"4283";"8";"4296"
"6867618 LABCELL";"212";"31303";"358";"31873"
"6922392 CITO";"1";"19750";"178";"19929"
"7113358 LABORATORIO LOGOS";"16";"16818";"88";"16922"
"Total";"736";"677859";"3136";"681731"
