"Prestador de serviço";"Exames";"Ins:mat. acelular";"Ins:pres. sangue";"Ins:pres. piocitos";"Ins:pres.art.desec";"Ins:pres.cont.exte";"Ins:pres.sup.celul";"Ins:Outros";" ASC-US";" ASC-H";"Les IE Baixo Grau";"Les IEp Alto Grau";"Exames Alterados"
"0019445 CEPON";"339";"0";"5";"3";"0";"0";"0";"0";"35";"24";"25";"9";"104"
"0019887 DIAGNOSTICO LABORATORIO DE ANALISES CLINICAS FLORIANOPOLIS";"6984";"3";"1";"0";"0";"0";"1";"2";"72";"6";"30";"9";"117"
"2303892 HOSPITAL SAO FRANCISCO";"4926";"2";"1";"0";"0";"0";"0";"0";"4";"4";"0";"7";"21"
"2306077 HE INSTITUTO DE PATOLOGIA LTDA";"8041";"9";"0";"0";"2";"0";"0";"0";"69";"29";"37";"22";"167"
"2336545 CIPAC";"11823";"6";"1";"0";"0";"1";"0";"0";"88";"43";"95";"21";"260"
"2379384 LABORATORIO LUZ";"10685";"4";"2";"3";"39";"1";"0";"0";"92";"32";"32";"13";"169"
"2491400 DIPREVER";"19552";"4";"1";"0";"59";"0";"0";"5";"543";"117";"192";"121";"979"
"2491478 LABORATORIO SANTE";"1510";"1";"2";"2";"0";"0";"0";"0";"20";"0";"12";"0";"34"
"2491710 HOSPITAL NOSSA SENHORA DA CONCEICAO";"35";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1"
"2513978 LABORATORIO MUNICIPAL DE ITAJAI";"1995";"5";"4";"5";"24";"0";"0";"0";"35";"29";"7";"11";"118"
"2521377 CAPI CENTRO DE ANATOMIA PATOLOGICA E IMUNOHISTOQUIMICA";"5773";"2";"1";"0";"0";"0";"0";"1";"57";"6";"9";"2";"77"
"2521504 CEDAP";"32895";"0";"0";"0";"193";"0";"0";"0";"1042";"607";"352";"227";"2300"
"2521849 CAC LAB";"10631";"12";"3";"0";"47";"0";"1";"0";"116";"37";"27";"20";"201"
"2522276 REDE FEMININA";"4889";"8";"1";"0";"2";"0";"0";"0";"25";"7";"43";"10";"87"
"2522381 CITOLABOR";"8141";"27";"4";"2";"81";"0";"0";"13";"40";"12";"20";"22";"101"
"2537508 REDE FEMININA DE COMBATE AO CANCER CHAPECO";"24041";"26";"43";"17";"43";"1";"2";"2";"52";"8";"159";"118";"376"
"2550911 LABORATORIO SAO LUCAS";"15444";"14";"1";"0";"9";"0";"0";"1";"150";"53";"30";"5";"240"
"2557819 IPA";"46145";"22";"13";"66";"265";"11";"37";"42";"1444";"249";"274";"186";"2505"
"2558238 LABORATORIO BIOCLINICO LAGUNA LTDA";"3111";"2";"0";"0";"39";"1";"3";"0";"8";"21";"6";"10";"48"
"2560747 INSTITUTO DE PATOLOGIA JOACABA";"15806";"7";"9";"5";"30";"0";"0";"8";"596";"43";"93";"23";"818"
"2609800 LABORATORIO MC LABOR";"10292";"9";"8";"35";"25";"5";"0";"0";"148";"11";"36";"16";"214"
"2641208 LAPS";"1922";"0";"6";"0";"0";"0";"0";"0";"12";"12";"2";"4";"41"
"2642549 ESPACO VITALE VITALAB";"3209";"2";"6";"3";"8";"0";"0";"1";"176";"34";"46";"18";"280"
"2663627 LABORATORIO CONTINENTE";"6940";"34";"4";"0";"18";"0";"0";"0";"43";"6";"43";"17";"110"
"2690144 REDE FEMININA DE COMBATE AO CANCER DE GASPAR";"5018";"0";"0";"0";"1";"0";"1";"0";"89";"4";"57";"23";"238"
"2691426 LABORATORIO EXAME";"4293";"0";"1";"1";"0";"0";"0";"0";"93";"19";"32";"5";"155"
"2692244 DIAGNOSTICO LABORATORIO DE ANALISES CLINICAS PALHOCA";"10154";"3";"6";"0";"0";"0";"0";"1";"63";"7";"34";"8";"112"
"2744961 PHD PATOLOGIA HUMANA DIAGNOSTICA";"21994";"9";"14";"7";"69";"13";"3";"1";"113";"46";"25";"63";"263"
"2778874 LABORATORIO CLINICO BIOPLANALISE";"273";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"3052850 PHD";"1732";"0";"1";"0";"3";"0";"0";"0";"4";"2";"3";"2";"13"
