"Prestador de serviço";"Exames";"Ins:mat. acelular";"Ins:pres. sangue";"Ins:pres. piocitos";"Ins:pres.art.desec";"Ins:pres.cont.exte";"Ins:pres.sup.celul";"Ins:Outros";" ASC-US";" ASC-H";"Les IE Baixo Grau";"Les IEp Alto Grau";"Exames Alterados"
"0019445 CEPON";"576";"5";"11";"11";"0";"0";"2";"0";"56";"13";"16";"0";"91"
"0019887 DIAGNOSTICO LABORATORIO DE ANALISES CLINICAS FLORIANOPOLIS";"226";"0";"0";"0";"0";"0";"0";"0";"9";"1";"11";"1";"22"
"2303892 HOSPITAL SAO FRANCISCO";"9533";"6";"2";"2";"2";"0";"0";"0";"2";"17";"9";"16";"51"
"2336545 CIPAC";"20168";"4";"2";"0";"2";"0";"0";"0";"288";"99";"238";"69";"719"
"2379384 LABORATORIO LUZ";"17746";"4";"2";"0";"21";"0";"0";"0";"218";"54";"108";"4";"391"
"2491400 DIPREVER";"61204";"37";"442";"1021";"2325";"21";"7";"4";"2595";"204";"559";"127";"3575"
"2513978 LABORATORIO MUNICIPAL DE ITAJAI";"1524";"5";"3";"8";"27";"0";"0";"0";"24";"31";"14";"17";"107"
"2521377 CAPI CENTRO DE ANATOMIA PATOLOGICA E IMUNOHISTOQUIMICA";"11743";"4";"1";"0";"0";"0";"0";"2";"92";"24";"42";"13";"173"
"2521504 CEDAP";"66995";"126";"0";"0";"48";"0";"0";"12";"2336";"1369";"718";"457";"5032"
"2521849 CAC LAB";"16008";"20";"0";"0";"22";"2";"0";"0";"213";"62";"82";"12";"381"
"2522276 REDE FEMININA";"9808";"23";"1";"16";"47";"0";"15";"0";"125";"28";"169";"59";"410"
"2522381 CITOLABOR";"20214";"126";"6";"6";"199";"0";"0";"12";"90";"27";"88";"38";"254"
"2537508 REDE FEMININA DE COMBATE AO CANCER CHAPECO";"39496";"96";"176";"79";"202";"2";"2";"8";"89";"10";"212";"122";"479"
"2550911 LABORATORIO SAO LUCAS";"29458";"5";"4";"0";"13";"0";"0";"14";"501";"180";"59";"45";"794"
"2557819 IPA";"77715";"21";"10";"190";"574";"31";"73";"386";"1331";"330";"355";"300";"2679"
"2558238 LABORATORIO BIOCLINICO LAGUNA LTDA";"2918";"3";"0";"2";"10";"8";"2";"0";"16";"3";"4";"4";"31"
"2560747 INSTITUTO DE PATOLOGIA JOACABA";"25984";"11";"18";"2";"46";"0";"0";"1";"963";"36";"255";"100";"1435"
"2609800 LABORATORIO MC LABOR";"9035";"14";"17";"47";"66";"18";"2";"0";"250";"17";"69";"44";"387"
"2641208 LAPS";"3810";"2";"6";"0";"1";"0";"0";"0";"29";"40";"22";"15";"112"
"2642549 ESPACO VITALE VITALAB";"2324";"0";"12";"26";"26";"0";"0";"2";"58";"30";"24";"14";"138"
"2690144 REDE FEMININA DE COMBATE AO CANCER DE GASPAR";"9423";"0";"2";"0";"6";"4";"4";"0";"137";"31";"97";"36";"353"
"2691418 LABORATORIO SANTA MARIA";"358";"0";"0";"0";"0";"0";"0";"0";"7";"0";"4";"2";"13"
"2744961 PHD PATOLOGIA HUMANA DIAGNOSTICA";"41400";"29";"79";"27";"118";"1";"5";"0";"324";"171";"104";"169";"838"
"2778874 LABORATORIO CLINICO BIOPLANALISE";"317";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"3052850 PHD";"4523";"0";"5";"0";"13";"0";"2";"0";"27";"15";"26";"9";"79"
"3157245 HOSPITAL UNIVERSITARIO";"2233";"7";"3";"1";"0";"0";"2";"2";"189";"51";"46";"31";"376"
"3169987 PATHOLOGY DIGNOSTICOS EM MEDICINA LTDA";"3003";"6";"2";"0";"0";"0";"0";"3";"34";"8";"5";"18";"65"
