"Prestador de serviço";"Exames";"Ins:mat. acelular";"Ins:pres. sangue";"Ins:pres. piocitos";"Ins:pres.art.desec";"Ins:pres.cont.exte";"Ins:pres.sup.celul";"Ins:Outros";" ASC-US";" ASC-H";"Les IE Baixo Grau";"Les IEp Alto Grau";"Exames Alterados"
"2223066 ETHICA";"7518";"1";"2";"0";"2";"0";"0";"1";"225";"35";"45";"15";"322"
"2223155 CENTRAL DE EXAMES COMPLEMENTARES";"7243";"9";"12";"3";"2";"0";"1";"7";"74";"26";"27";"11";"138"
"2225794 HISTOMED";"3533";"4";"1";"4";"3";"0";"0";"0";"16";"3";"8";"2";"30"
"2227878 LABORATORIO CITOLAB LTDA";"3947";"0";"0";"0";"0";"0";"0";"0";"38";"11";"17";"11";"77"
"2229730 CDC NH";"11717";"11";"6";"8";"390";"0";"0";"6";"55";"9";"122";"36";"247"
"2233576 LABORATORIO SANTA LUCIA CACAPAVA DO SUL";"1930";"4";"4";"9";"1";"0";"1";"0";"19";"23";"4";"11";"65"
"2237121 HOSPITAL SANATORIO PARTENON";"1154";"1";"0";"1";"10";"0";"0";"0";"14";"1";"7";"5";"27"
"2239302 MOREIRA JUNIOR LABORATORIO DE PAT E CIT EIRELI";"8028";"3";"3";"0";"0";"0";"0";"4";"15";"4";"10";"8";"38"
"2239450 CPM CENTRO DE PATOLOGIA MEDICA";"8806";"4";"6";"1";"0";"0";"1";"2";"64";"26";"47";"18";"181"
"2242001 LABORATORIO PASIN";"3582";"12";"13";"7";"1";"0";"0";"0";"29";"2";"4";"0";"39"
"2242257 LABIVIDA LABORATORIO DE ANALISES CLINICAS";"5837";"3";"0";"8";"5";"0";"1";"4";"59";"9";"47";"21";"155"
"2243229 LABORATORIO DR TUIUTI LEANDRO GUERRA";"793";"0";"2";"3";"0";"0";"0";"0";"17";"13";"10";"11";"52"
"2243385 LABIMED ANALISES CLINICAS PINHEIRO";"2336";"2";"2";"2";"29";"0";"0";"1";"9";"1";"6";"4";"23"
"2245078 LABORATORIO BIOS SOLEDADE";"6588";"18";"0";"2";"0";"3";"0";"2";"22";"1";"5";"7";"37"
"2245167 ALPHA LABORATORIOS MARAU";"5599";"6";"0";"2";"12";"0";"0";"0";"33";"11";"43";"10";"99"
"2245213 INSTITUTO DE PATOLOGIA DE PASSO FUNDO E OU IPPF";"21702";"38";"35";"31";"160";"0";"14";"192";"323";"52";"92";"87";"600"
"2246988 HOSPITAL SAO VICENTE DE PAULO";"3637";"0";"0";"0";"0";"0";"0";"0";"10";"11";"10";"10";"50"
"2249308 MEDICINA DIAGNOSTICA";"12498";"1";"13";"1";"5";"0";"0";"6";"440";"113";"112";"17";"700"
"2252287 HOSPITAL BRUNO BORN";"293";"0";"0";"0";"0";"0";"0";"0";"9";"7";"4";"3";"31"
"2252953 SERVICO ESPECIALIZADO DE GINECOLOGIA LTDA";"13271";"71";"3";"0";"6";"0";"0";"0";"0";"0";"53";"8";"62"
"2254433 LABORATORIO DE PATOLOGIA NOROESTE LTDA";"15773";"73";"35";"59";"63";"2";"9";"0";"46";"8";"23";"11";"110"
"2255634 LABORATORIO SANTA CRUZ";"4779";"19";"7";"0";"3";"0";"0";"0";"15";"6";"19";"8";"56"
"2255847 LABORATORIO DE PATOLOGIA ROCHA E GONZATTI";"6648";"2";"1";"1";"0";"0";"0";"0";"43";"0";"38";"0";"86"
"2256150 LABORATORIO DALLA CORTE";"414";"9";"0";"0";"2";"0";"0";"1";"14";"0";"2";"1";"19"
"2261057 HOSPITAL DE CARIDADE DE IJUI";"232";"0";"1";"0";"0";"0";"0";"0";"10";"0";"4";"0";"18"
"2261987 SANTA CASA DE CARIDADE DE BAGE";"7656";"2";"50";"21";"198";"0";"0";"0";"154";"9";"29";"10";"218"
"2707675 HOSPITAL UNIVERSITARIO DR MIGUEL RIET CORREA JR";"1879";"1";"8";"5";"37";"2";"8";"2";"117";"19";"47";"15";"210"
"2707969 HOSPITAL BENEFICIENTE SANTA LUZIA";"4570";"59";"8";"0";"9";"5";"0";"7";"29";"3";"21";"7";"64"
