"Prestador de serviço";"Rejeitada";"Satisfatória";"Insatisfatória";" Total"
"0019445 CEPON";"0";"318";"16";"334"
"0019887 DIAGNOSTICO LABORATORIO DE ANALISES CLINICAS FLORIANOPOLIS";"0";"226";"0";"226"
"2303892 HOSPITAL SAO FRANCISCO";"0";"5488";"4";"5492"
"2336545 CIPAC";"0";"11611";"4";"11615"
"2379384 LABORATORIO LUZ";"3";"10472";"15";"10490"
"2491400 DIPREVER";"82";"34747";"1625";"36454"
"2513978 LABORATORIO MUNICIPAL DE ITAJAI";"0";"1073";"31";"1104"
"2521377 CAPI CENTRO DE ANATOMIA PATOLOGICA E IMUNOHISTOQUIMICA";"0";"6711";"6";"6717"
"2521504 CEDAP";"0";"38990";"110";"39100"
"2521849 CAC LAB";"3";"9684";"21";"9708"
"2522276 REDE FEMININA";"0";"5566";"41";"5607"
"2522381 CITOLABOR";"0";"11735";"199";"11934"
"2537508 REDE FEMININA DE COMBATE AO CANCER CHAPECO";"39";"23438";"244";"23721"
"2550911 LABORATORIO SAO LUCAS";"0";"16990";"19";"17009"
"2557819 IPA";"85";"46553";"504";"47142"
"2558238 LABORATORIO BIOCLINICO LAGUNA LTDA";"0";"1528";"7";"1535"
"2560747 INSTITUTO DE PATOLOGIA JOACABA";"0";"15638";"52";"15690"
"2609800 LABORATORIO MC LABOR";"0";"5130";"61";"5191"
"2641208 LAPS";"2";"2223";"5";"2230"
"2642549 ESPACO VITALE VITALAB";"0";"1369";"21";"1390"
"2690144 REDE FEMININA DE COMBATE AO CANCER DE GASPAR";"0";"5327";"8";"5335"
"2691418 LABORATORIO SANTA MARIA";"0";"189";"0";"189"
"2744961 PHD PATOLOGIA HUMANA DIAGNOSTICA";"15";"23954";"106";"24075"
"2778874 LABORATORIO CLINICO BIOPLANALISE";"0";"198";"0";"198"
"3052850 PHD";"4";"2716";"9";"2729"
"3157245 HOSPITAL UNIVERSITARIO";"0";"1287";"8";"1295"
"3169987 PATHOLOGY DIGNOSTICOS EM MEDICINA LTDA";"1";"1720";"5";"1726"
"3409937 BIOCITO";"1";"31";"1";"33"
"3499472 LABORATORIO PREVENT";"0";"2935";"1";"2936"
"3988015 CIP CENTRO INTEGRADO DE PATOLOGIA";"2";"6716";"19";"6737"
"4061314 LABORATORIO ANNALAB";"0";"13289";"6";"13295"
"5097983 CITOCENTRO";"1";"12592";"139";"12732"
"5261279 LABORATORIO VITAL";"0";"1694";"6";"1700"
"5370205 LABORATORIO MULHER";"3";"13508";"393";"13904"
"5925282 LAB PASTEUR UNIDADE DE COLETA JOACABA";"0";"29764";"48";"29812"
"5935369 DNANALISES";"0";"11225";"2";"11227"
"6124348 LABORATORIO BIOVIDA";"0";"10608";"65";"10673"
"6491847 LABORATORIO SAO JOAO";"0";"2072";"3";"2075"
"6777716 LCP LABORATORIO DE CITOLOGIA E PATOLOGIA";"22";"7033";"13";"7068"
"7005849 LABORATORIO HOFFMANN";"0";"1770";"6";"1776"
"7058616 LABORATORIO PRO VIDA";"2";"2562";"86";"2650"
"7115148 HOSPITAL UNIVERSITARIO";"1";"1942";"9";"1952"
"9098496 PRIME LABORATORIO CLINICO KOBRASOL";"0";"9833";"27";"9860"
"9208380 PREVENCITO";"0";"11975";"11";"11986"
"9258515 LAB MED";"1";"4121";"97";"4219"
"9269185 CIS AMAUC";"0";"745";"0";"745"
"9447601 LATORMES ANATOMIA PATOLOGICA E CITOLOGICA EIRELI ME";"0";"807";"2";"809"
"Total";"267";"430103";"4055";"434425"
