"Prestador de serviço";"Exames";"Ins:mat. acelular";"Ins:pres. sangue";"Ins:pres. piocitos";"Ins:pres.art.desec";"Ins:pres.cont.exte";"Ins:pres.sup.celul";"Ins:Outros";" ASC-US";" ASC-H";"Les IE Baixo Grau";"Les IEp Alto Grau";"Exames Alterados"
"0019445 CEPON";"33";"0";"1";"0";"0";"0";"0";"0";"7";"3";"2";"0";"12"
"0019887 DIAGNOSTICO LABORATORIO DE ANALISES CLINICAS FLORIANOPOLIS";"8359";"5";"3";"0";"0";"0";"0";"0";"86";"2";"39";"5";"137"
"2303892 HOSPITAL SAO FRANCISCO";"6976";"0";"9";"4";"8";"4";"0";"0";"25";"8";"12";"9";"54"
"2306077 HE INSTITUTO DE PATOLOGIA LTDA";"12689";"5";"1";"0";"1";"0";"0";"0";"109";"27";"45";"25";"209"
"2336545 CIPAC";"12662";"2";"1";"1";"21";"1";"0";"0";"141";"99";"133";"42";"454"
"2379384 LABORATORIO LUZ";"8931";"11";"6";"3";"149";"9";"0";"0";"170";"8";"41";"5";"226"
"2491400 DIPREVER";"16919";"2";"0";"0";"0";"0";"0";"0";"114";"41";"55";"34";"245"
"2491478 LABORATORIO SANTE";"1888";"0";"0";"3";"5";"0";"2";"0";"13";"0";"10";"2";"28"
"2491710 HOSPITAL NOSSA SENHORA DA CONCEICAO";"58";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"2513978 LABORATORIO MUNICIPAL DE ITAJAI";"1586";"5";"2";"2";"9";"0";"0";"0";"23";"8";"12";"6";"67"
"2521377 CAPI CENTRO DE ANATOMIA PATOLOGICA E IMUNOHISTOQUIMICA";"7032";"2";"0";"0";"7";"0";"0";"1";"89";"16";"30";"5";"145"
"2521849 CAC LAB";"5604";"8";"6";"3";"39";"0";"1";"0";"104";"2";"27";"3";"140"
"2522276 REDE FEMININA";"5022";"2";"3";"0";"5";"0";"0";"0";"27";"11";"8";"7";"62"
"2522381 CITOLABOR";"7877";"35";"1";"2";"20";"0";"4";"0";"41";"13";"30";"21";"114"
"2537508 REDE FEMININA DE COMBATE AO CANCER CHAPECO";"23178";"54";"50";"38";"105";"0";"2";"0";"155";"130";"228";"83";"652"
"2542986 INSTITUTO DE ANATOMIA PATOLOGICA E CITOLOGIA DR CELIO B RAM";"202";"0";"0";"9";"15";"0";"0";"0";"16";"1";"0";"0";"18"
"2550911 LABORATORIO SAO LUCAS";"15624";"1";"2";"1";"18";"0";"0";"0";"115";"34";"22";"4";"176"
"2557819 IPA";"42298";"36";"13";"52";"211";"2";"30";"0";"564";"76";"96";"51";"890"
"2558238 LABORATORIO BIOCLINICO LAGUNA LTDA";"2995";"4";"2";"3";"24";"0";"3";"0";"29";"27";"16";"14";"103"
"2560747 INSTITUTO DE PATOLOGIA JOACABA";"11577";"5";"1";"0";"8";"0";"0";"1";"180";"11";"45";"10";"272"
"2609800 LABORATORIO MC LABOR";"9545";"10";"4";"2";"29";"0";"0";"0";"137";"16";"46";"28";"230"
"2641208 LAPS";"2851";"1";"4";"0";"10";"0";"0";"0";"8";"6";"4";"12";"34"
"2642549 ESPACO VITALE VITALAB";"3643";"1";"1";"1";"7";"0";"0";"0";"76";"3";"33";"9";"122"
"2663627 LABORATORIO CONTINENTE";"8268";"16";"2";"1";"9";"0";"0";"1";"97";"12";"46";"17";"176"
"2690144 REDE FEMININA DE COMBATE AO CANCER DE GASPAR";"4962";"1";"0";"0";"20";"1";"0";"0";"82";"7";"47";"23";"192"
"2691426 LABORATORIO EXAME";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"2691582 INSTITUTO DE ANATOMIA PATOLOGICA IAP";"1314";"3";"2";"0";"3";"0";"0";"0";"6";"1";"9";"4";"21"
"2692244 DIAGNOSTICO LABORATORIO DE ANALISES CLINICAS PALHOCA";"10206";"2";"6";"1";"0";"0";"0";"0";"106";"12";"45";"10";"174"
"2744961 PHD PATOLOGIA HUMANA DIAGNOSTICA";"17894";"17";"14";"11";"64";"0";"5";"11";"103";"26";"37";"59";"241"
"2778769 ANATOMIA PATOLOGICA LTDA";"8573";"12";"2";"2";"20";"1";"0";"1";"75";"24";"31";"20";"168"
"3052850 PHD";"1182";"0";"0";"1";"5";"0";"0";"0";"10";"2";"2";"0";"15"
"3157245 HOSPITAL UNIVERSITARIO";"1402";"1";"0";"0";"0";"0";"0";"0";"27";"5";"20";"7";"80"
"3169987 PATHOLOGY DIGNOSTICOS EM MEDICINA LTDA";"1504";"0";"1";"0";"3";"0";"0";"0";"18";"3";"6";"2";"29"
"3409937 BIOCITO";"13004";"14";"37";"28";"547";"6";"0";"0";"85";"14";"39";"10";"149"
"3499472 LABORATORIO PREVENT";"6318";"2";"1";"0";"0";"0";"0";"0";"21";"0";"10";"2";"51"
"3988015 CIP CENTRO INTEGRADO DE PATOLOGIA";"3765";"3";"0";"1";"12";"0";"0";"0";"28";"10";"7";"20";"68"
"4061314 LABORATORIO ANNALAB";"14455";"2";"0";"0";"0";"0";"0";"0";"288";"44";"55";"32";"455"
"5097983 CITOCENTRO";"12862";"35";"44";"110";"67";"6";"2";"1";"344";"25";"98";"62";"534"
"5261279 LABORATORIO VITAL";"1168";"1";"0";"0";"0";"0";"0";"0";"10";"0";"4";"0";"14"
"5370205 LABORATORIO MULHER";"12297";"14";"93";"99";"147";"14";"19";"0";"71";"27";"25";"26";"172"
"5412153 CITOLAB LABORATORIO DE CITOPATOLOGIA";"1208";"3";"0";"0";"0";"0";"0";"0";"13";"0";"16";"2";"31"
"5459567 CITOLOGICO";"1796";"1";"2";"0";"4";"0";"0";"0";"33";"1";"14";"2";"51"
"5672007 DIAGNOSTICO LABORATORIO DE ANALISES CLINICAS";"385";"0";"0";"0";"0";"1";"0";"0";"8";"0";"0";"0";"9"
"5925282 LAB PASTEUR UNIDADE DE COLETA JOACABA";"36857";"42";"14";"2";"37";"1";"1";"0";"144";"46";"36";"35";"290"
"5935369 DNANALISES";"7547";"6";"0";"0";"1";"0";"0";"0";"40";"2";"23";"2";"75"
"6124348 LABORATORIO BIOVIDA";"5983";"15";"2";"0";"1";"0";"0";"0";"27";"7";"17";"1";"56"
"6491847 LABORATORIO SAO JOAO";"503";"1";"0";"0";"0";"0";"0";"0";"10";"0";"5";"0";"17"
"6493823 LABORATORIO CONTINENTE";"7654";"19";"3";"1";"10";"2";"0";"2";"43";"5";"10";"7";"66"
"6777716 LCP LABORATORIO DE CITOLOGIA E PATOLOGIA";"8704";"8";"3";"4";"4";"1";"8";"6";"72";"11";"39";"5";"133"
"7005849 LABORATORIO HOFFMANN";"715";"2";"0";"0";"2";"0";"0";"0";"10";"0";"1";"0";"11"
"7058616 LABORATORIO PRO VIDA";"2920";"3";"14";"8";"11";"0";"2";"1";"16";"1";"3";"4";"26"
"7115148 HOSPITAL UNIVERSITARIO";"2264";"1";"0";"1";"24";"1";"0";"0";"8";"0";"15";"5";"28"
"7481829 SERAPIAO E FIGUEIREDO PATOLOGIA DIAGNOSTICA";"3406";"1";"0";"2";"14";"1";"6";"0";"13";"8";"26";"9";"58"
"Total";"406667";"414";"350";"396";"1696";"51";"85";"25";"4037";"835";"1620";"741";"7780"
