"Prestador de serviço";"Exames";"Ins:mat. acelular";"Ins:pres. sangue";"Ins:pres. piocitos";"Ins:pres.art.desec";"Ins:pres.cont.exte";"Ins:pres.sup.celul";"Ins:Outros";" ASC-US";" ASC-H";"Les IE Baixo Grau";"Les IEp Alto Grau";"Exames Alterados"
"0013234 LABORATORIO DE ANALISES CLINICAS ALMIRANTE TAMANDARE";"10105";"132";"102";"185";"44";"3";"14";"54";"324";"63";"149";"14";"586"
"0015334 HOSPITAL SANTA CASA DE CURITIBA";"535";"5";"2";"0";"2";"0";"0";"0";"15";"17";"2";"2";"38"
"0015644 HOSPITAL ERASTO GAERTNER";"25140";"96";"10";"15";"6";"0";"2";"2";"497";"205";"430";"567";"1925"
"0015679 LABORATORIO ANALISA";"5370";"38";"9";"2";"0";"0";"0";"0";"23";"11";"9";"6";"57"
"0015989 LABORATORIO OSVALDO ZORNIG LTDA";"7963";"24";"21";"17";"88";"0";"14";"29";"44";"29";"47";"45";"182"
"0016136 PATOLOGISTAS ASSOCIADOS";"30211";"15";"8";"4";"16";"0";"1";"0";"1254";"149";"244";"37";"1690"
"0016357 LABORATORIO ANNALAB";"22500";"26";"18";"1";"7";"0";"0";"5";"115";"19";"44";"20";"216"
"0016446 NEOPATH PATOLOGIA DIAGNOSTICA";"4525";"8";"5";"5";"4";"0";"2";"2";"37";"24";"22";"22";"111"
"0017876 CIS CONIMS";"382";"0";"1";"0";"0";"0";"0";"0";"12";"1";"3";"5";"23"
"2384299 COMPLEXO HOSPITAL DE CLINICAS";"1413";"6";"3";"0";"1";"0";"0";"0";"167";"69";"31";"49";"354"
"2439093 L B LABORATORIO";"22752";"5";"0";"0";"0";"0";"0";"29";"147";"83";"131";"76";"443"
"2439425 LABORATORIO SAO FRANCISCO";"28404";"210";"31";"105";"53";"3";"18";"191";"399";"132";"96";"89";"744"
"2567881 LABORATORIO DR MAURICIO";"12547";"20";"3";"1";"16";"0";"1";"3";"316";"68";"177";"40";"601"
"2577623 HCL HOSPITAL DO CANCER DE LONDRINA";"29411";"12";"5";"0";"18";"0";"0";"1";"332";"104";"98";"72";"624"
"2577682 MICROPAR";"12721";"17";"2";"0";"15";"0";"0";"0";"58";"13";"18";"31";"135"
"2578476 CLINILAB";"12313";"4";"0";"0";"0";"0";"0";"0";"31";"30";"19";"13";"106"
"2586533 LEPAC LABORATORIO DE ENSINO E PESQUISA EM ANALISES CLINICA";"4991";"6";"5";"0";"3";"0";"0";"5";"89";"29";"75";"9";"207"
"2591111 INCELL";"16014";"58";"22";"30";"30";"0";"4";"2";"27";"9";"20";"25";"84"
"2594439 PREVENCAO DIAGNOSE";"6707";"4";"5";"1";"4";"1";"0";"1";"44";"21";"39";"14";"132"
"2639637 DIAGNOSE";"26527";"20";"5";"6";"3";"0";"0";"1";"205";"63";"99";"103";"502"
"2639661 CITOPAR";"46405";"89";"23";"3";"45";"1";"1";"0";"478";"256";"72";"80";"902"
"2698552 EXAME CENTRO DE DIAGNOSTICOS";"12791";"41";"43";"47";"2";"0";"1";"6";"90";"32";"120";"30";"291"
"2729822 LABORMED ROLANDIA";"5204";"15";"6";"10";"9";"0";"0";"3";"36";"13";"21";"6";"77"
"2731940 CIALAB";"10220";"9";"4";"7";"58";"0";"0";"0";"22";"8";"42";"11";"88"
"2734230 LABORATORIO SANTA TEREZINHA";"36194";"119";"52";"77";"107";"0";"1";"62";"584";"156";"216";"60";"1051"
"2738368 HOSPITAL UNIVERSITARIO DO OESTE DO PARANA";"170";"3";"1";"4";"1";"0";"2";"0";"5";"0";"9";"6";"21"
"2741989 HOSPITAL DE CARIDADE SAO VICENTE DE PAULO";"208";"0";"0";"0";"0";"0";"0";"0";"16";"5";"3";"13";"48"
"2754053 LABORATORIO PASTEUR LTDA";"1331";"2";"0";"1";"1";"0";"0";"0";"45";"30";"2";"8";"88"
"2781859 HOSPITAL UNIVERSITARIO REGIONAL DO NORTE DO PARANA";"788";"1";"2";"0";"0";"0";"0";"0";"28";"3";"19";"7";"61"
"2783010 PATOLOGIA MEDICA DIAGNOSTICO PESQUISA E CONSULTORIA";"3498";"5";"0";"0";"0";"0";"0";"0";"14";"7";"6";"14";"42"
"3087751 LABORATORIO MASTER";"14527";"28";"9";"0";"20";"0";"0";"0";"39";"14";"5";"10";"81"
"3141195 CPD CITOLOGIA E PATOLOGIA DIAGNOSTICA";"3365";"1";"3";"2";"3";"0";"2";"0";"25";"12";"5";"1";"50"
"3155986 LABORATORIO SAO MARCOS";"2085";"2";"0";"1";"0";"1";"0";"1";"28";"3";"9";"1";"41"
"3510247 CITOPAT PRESTADORA SERV MEDICO LAUDOS DE PATOLOGIA S C";"20123";"19";"7";"2";"1";"0";"0";"0";"142";"45";"112";"97";"408"
"3554309 HISTOCENTER CENTRO DE ANATOMIA PAT E CITOPATOLOGIA";"19067";"13";"0";"0";"0";"0";"0";"2";"153";"33";"67";"71";"350"
"3823962 PHD PATOLOGIA HUMANA DIAGNOSTICA";"9432";"26";"9";"1";"7";"0";"0";"0";"53";"22";"17";"38";"137"
"5205905 PREVENCAO E DIAGNOSE";"3436";"3";"7";"3";"15";"0";"0";"42";"16";"6";"11";"4";"44"
"5662648 LABBOS";"11032";"53";"16";"46";"10";"1";"6";"0";"23";"33";"13";"10";"104"
"5664675 PHD";"14665";"32";"0";"0";"0";"0";"0";"0";"97";"35";"33";"25";"198"
"5931622 CENTRO DE DIAGNOSTICO SANTA CLARA";"11975";"10";"0";"0";"0";"0";"0";"0";"79";"23";"73";"30";"211"
"5991080 LABORATORIO VITA LAB";"29613";"11";"15";"0";"0";"0";"0";"0";"662";"23";"293";"12";"990"
"6002471 VIDALABOR";"7617";"70";"18";"2";"43";"1";"8";"7";"456";"11";"2";"3";"488"
"6019641 LABORATORIO PREVENCAO E DIAGNOSE";"14139";"9";"5";"2";"12";"1";"0";"12";"132";"93";"160";"129";"557"
"6694349 PREV IN CITO";"13015";"61";"31";"37";"33";"0";"4";"41";"143";"36";"103";"47";"364"
"6794858 CENTRO DE APOIO EM PATOLOGIA DE GUARAPUAVA";"14633";"14";"2";"0";"2";"0";"0";"0";"222";"63";"96";"95";"501"
"6820158 LABORATORIO PASTEUR DE PATOLOGIA";"5009";"4";"0";"0";"2";"0";"0";"1";"144";"96";"20";"27";"293"
"6867618 LABCELL";"45738";"440";"105";"150";"236";"1";"46";"26";"940";"196";"993";"381";"2596"
"6922392 CITO";"24299";"101";"56";"88";"7";"0";"3";"18";"135";"51";"218";"40";"461"
"7113358 LABORATORIO LOGOS";"12769";"60";"66";"75";"234";"1";"9";"0";"186";"109";"89";"71";"499"
"7795971 LABORATORIO EXAME";"6516";"20";"4";"3";"2";"0";"0";"0";"54";"13";"45";"19";"144"
"9551808 NEOPATHOLOGIA";"5284";"7";"5";"7";"76";"0";"0";"0";"91";"16";"26";"1";"140"
"Total";"685679";"1974";"746";"940";"1236";"14";"139";"546";"9274";"2582";"4653";"2586";"20086"
