"Prestador de serviço";"Exames";"Ins:mat. acelular";"Ins:pres. sangue";"Ins:pres. piocitos";"Ins:pres.art.desec";"Ins:pres.cont.exte";"Ins:pres.sup.celul";"Ins:Outros";" ASC-US";" ASC-H";"Les IE Baixo Grau";"Les IEp Alto Grau";"Exames Alterados"
"0019445 CEPON";"268";"1";"2";"3";"0";"0";"1";"1";"35";"7";"15";"3";"62"
"0019887 DIAGNOSTICO LABORATORIO DE ANALISES CLINICAS FLORIANOPOLIS";"8463";"24";"5";"0";"3";"0";"0";"0";"66";"14";"83";"23";"186"
"2303892 HOSPITAL SAO FRANCISCO";"5476";"4";"0";"0";"2";"0";"0";"0";"2";"5";"1";"1";"10"
"2336545 CIPAC";"9472";"2";"1";"0";"1";"0";"0";"0";"91";"42";"125";"37";"299"
"2379384 LABORATORIO LUZ";"11546";"9";"1";"0";"16";"1";"1";"9";"56";"22";"31";"5";"114"
"2491400 DIPREVER";"32138";"10";"55";"62";"471";"1";"2";"9";"895";"134";"320";"149";"1533"
"2491478 LABORATORIO SANTE";"94";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"3"
"2491710 HOSPITAL NOSSA SENHORA DA CONCEICAO";"36";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"2513978 LABORATORIO MUNICIPAL DE ITAJAI";"2510";"5";"2";"7";"40";"0";"0";"0";"40";"33";"19";"12";"144"
"2521377 CAPI CENTRO DE ANATOMIA PATOLOGICA E IMUNOHISTOQUIMICA";"6768";"5";"2";"0";"1";"0";"0";"0";"81";"10";"34";"8";"143"
"2521504 CEDAP";"38046";"1";"0";"0";"245";"0";"0";"0";"1190";"666";"459";"307";"2696"
"2521849 CAC LAB";"11229";"14";"2";"0";"4";"0";"0";"2";"74";"24";"27";"6";"132"
"2522276 REDE FEMININA";"5229";"5";"3";"1";"9";"0";"2";"0";"35";"16";"44";"22";"123"
"2522381 CITOLABOR";"10217";"69";"12";"5";"186";"1";"0";"41";"47";"15";"42";"27";"140"
"2537508 REDE FEMININA DE COMBATE AO CANCER CHAPECO";"22922";"28";"45";"23";"79";"2";"0";"0";"55";"10";"164";"110";"376"
"2550911 LABORATORIO SAO LUCAS";"17218";"4";"2";"0";"15";"0";"1";"8";"211";"55";"26";"10";"306"
"2557819 IPA";"52599";"26";"6";"139";"489";"4";"64";"98";"1360";"203";"169";"102";"2134"
"2558238 LABORATORIO BIOCLINICO LAGUNA LTDA";"3120";"5";"0";"1";"22";"0";"2";"0";"6";"19";"8";"9";"50"
"2560747 INSTITUTO DE PATOLOGIA JOACABA";"14820";"6";"14";"4";"97";"0";"0";"0";"631";"33";"130";"44";"878"
"2609800 LABORATORIO MC LABOR";"7985";"11";"9";"34";"30";"5";"1";"0";"226";"22";"65";"26";"344"
"2641208 LAPS";"1838";"1";"4";"0";"2";"0";"0";"0";"13";"18";"3";"3";"42"
"2642549 ESPACO VITALE VITALAB";"1806";"2";"1";"6";"13";"0";"0";"0";"68";"17";"18";"9";"127"
"2690144 REDE FEMININA DE COMBATE AO CANCER DE GASPAR";"5322";"0";"5";"0";"1";"0";"3";"0";"67";"5";"56";"17";"172"
"2691426 LABORATORIO EXAME";"1770";"0";"0";"0";"0";"0";"0";"0";"47";"7";"16";"2";"76"
"2692244 DIAGNOSTICO LABORATORIO DE ANALISES CLINICAS PALHOCA";"644";"2";"0";"1";"0";"0";"0";"0";"4";"2";"3";"2";"11"
"2744961 PHD PATOLOGIA HUMANA DIAGNOSTICA";"22569";"13";"18";"8";"74";"5";"2";"2";"140";"67";"47";"64";"342"
"2778874 LABORATORIO CLINICO BIOPLANALISE";"186";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"3052850 PHD";"3041";"0";"1";"0";"5";"0";"0";"0";"11";"7";"2";"9";"31"
"3157245 HOSPITAL UNIVERSITARIO";"1282";"11";"4";"1";"2";"0";"1";"0";"41";"20";"29";"23";"159"
"3169987 PATHOLOGY DIGNOSTICOS EM MEDICINA LTDA";"1861";"2";"2";"0";"2";"0";"0";"0";"28";"4";"2";"6";"41"
"3409937 BIOCITO";"2384";"2";"16";"11";"70";"1";"0";"0";"25";"7";"5";"1";"38"
"3499472 LABORATORIO PREVENT";"3052";"0";"0";"0";"0";"0";"0";"0";"10";"0";"1";"1";"14"
"3988015 CIP CENTRO INTEGRADO DE PATOLOGIA";"5957";"2";"5";"3";"18";"0";"1";"0";"45";"16";"13";"14";"105"
"4061314 LABORATORIO ANNALAB";"14589";"2";"1";"1";"1";"0";"0";"0";"129";"19";"45";"35";"242"
"5097983 CITOCENTRO";"11924";"7";"38";"89";"51";"0";"1";"0";"364";"34";"95";"64";"568"
"5261279 LABORATORIO VITAL";"1815";"1";"0";"5";"14";"0";"1";"0";"30";"5";"11";"10";"62"
"5370205 LABORATORIO MULHER";"10613";"13";"53";"46";"154";"11";"11";"1";"106";"64";"53";"32";"278"
"5925282 LAB PASTEUR UNIDADE DE COLETA JOACABA";"31135";"46";"13";"2";"34";"0";"0";"0";"121";"42";"28";"27";"245"
"5935369 DNANALISES";"8733";"4";"2";"0";"1";"0";"0";"1";"106";"6";"37";"2";"155"
"6124348 LABORATORIO BIOVIDA";"8075";"16";"7";"12";"1";"0";"2";"0";"96";"36";"32";"17";"191"
"6491847 LABORATORIO SAO JOAO";"2778";"1";"0";"0";"2";"0";"0";"0";"136";"17";"19";"9";"205"
"6493823 LABORATORIO CONTINENTE";"5209";"19";"0";"2";"10";"0";"0";"0";"32";"2";"28";"15";"79"
"6777716 LCP LABORATORIO DE CITOLOGIA E PATOLOGIA";"7212";"4";"2";"2";"0";"0";"1";"2";"33";"15";"19";"10";"80"
"7005849 LABORATORIO HOFFMANN";"1157";"3";"4";"0";"0";"0";"0";"0";"22";"0";"2";"0";"24"
"7058616 LABORATORIO PRO VIDA";"3459";"1";"15";"24";"26";"1";"2";"2";"22";"3";"48";"13";"96"
"7115148 HOSPITAL UNIVERSITARIO";"1986";"3";"1";"1";"11";"0";"0";"2";"15";"5";"9";"18";"50"
"9098496 PRIME LABORATORIO CLINICO KOBRASOL";"9793";"40";"13";"13";"1";"0";"0";"0";"86";"14";"40";"6";"153"
"9208380 PREVENCITO";"10549";"18";"1";"1";"1";"0";"0";"0";"89";"10";"96";"29";"226"
"9258515 LAB MED";"2394";"1";"21";"9";"28";"2";"0";"1";"26";"10";"7";"10";"57"
"9447601 LATORMES ANATOMIA PATOLOGICA E CITOLOGICA EIRELI ME";"469";"0";"0";"0";"0";"0";"0";"0";"4";"4";"2";"5";"15"
"Total";"443758";"443";"388";"516";"2232";"34";"99";"179";"7018";"1786";"2530";"1354";"13557"
