"Prestador de serviço";"Rejeitada";"Satisfatória";"Insatisfatória";" Total"
"0013234 LABORATORIO DE ANALISES CLINICAS ALMIRANTE TAMANDARE";"6";"9670";"429";"10105"
"0015334 HOSPITAL SANTA CASA DE CURITIBA";"0";"529";"6";"535"
"0015644 HOSPITAL ERASTO GAERTNER";"1";"25015";"124";"25140"
"0015679 LABORATORIO ANALISA";"4";"5319";"47";"5370"
"0015989 LABORATORIO OSVALDO ZORNIG LTDA";"180";"7629";"154";"7963"
"0016136 PATOLOGISTAS ASSOCIADOS";"8";"30166";"37";"30211"
"0016357 LABORATORIO ANNALAB";"0";"22443";"57";"22500"
"0016446 NEOPATH PATOLOGIA DIAGNOSTICA";"0";"4503";"22";"4525"
"0017876 CIS CONIMS";"0";"381";"1";"382"
"2384299 COMPLEXO HOSPITAL DE CLINICAS";"1";"1403";"9";"1413"
"2439093 L B LABORATORIO";"0";"22719";"33";"22752"
"2439425 LABORATORIO SAO FRANCISCO";"22";"28011";"371";"28404"
"2567881 LABORATORIO DR MAURICIO";"20";"12489";"38";"12547"
"2577623 HCL HOSPITAL DO CANCER DE LONDRINA";"0";"29375";"36";"29411"
"2577682 MICROPAR";"0";"12687";"34";"12721"
"2578476 CLINILAB";"1";"12308";"4";"12313"
"2586533 LEPAC LABORATORIO DE ENSINO E PESQUISA EM ANALISES CLINICA";"2";"4976";"13";"4991"
"2591111 INCELL";"10";"15858";"146";"16014"
"2594439 PREVENCAO DIAGNOSE";"1";"6692";"14";"6707"
"2639637 DIAGNOSE";"0";"26492";"35";"26527"
"2639661 CITOPAR";"32";"46260";"113";"46405"
"2698552 EXAME CENTRO DE DIAGNOSTICOS";"0";"12677";"114";"12791"
"2729822 LABORMED ROLANDIA";"1";"5171";"32";"5204"
"2731940 CIALAB";"0";"10143";"77";"10220"
"2734230 LABORATORIO SANTA TEREZINHA";"108";"35810";"276";"36194"
"2738368 HOSPITAL UNIVERSITARIO DO OESTE DO PARANA";"1";"160";"9";"170"
"2741989 HOSPITAL DE CARIDADE SAO VICENTE DE PAULO";"0";"208";"0";"208"
"2754053 LABORATORIO PASTEUR LTDA";"0";"1328";"3";"1331"
"2781859 HOSPITAL UNIVERSITARIO REGIONAL DO NORTE DO PARANA";"0";"785";"3";"788"
"2783010 PATOLOGIA MEDICA DIAGNOSTICO PESQUISA E CONSULTORIA";"1";"3492";"5";"3498"
"3087751 LABORATORIO MASTER";"0";"14470";"57";"14527"
"3141195 CPD CITOLOGIA E PATOLOGIA DIAGNOSTICA";"1";"3358";"6";"3365"
"3155986 LABORATORIO SAO MARCOS";"5";"2075";"5";"2085"
"3510247 CITOPAT PRESTADORA SERV MEDICO LAUDOS DE PATOLOGIA S C";"0";"20094";"29";"20123"
"3554309 HISTOCENTER CENTRO DE ANATOMIA PAT E CITOPATOLOGIA";"0";"19052";"15";"19067"
"3823962 PHD PATOLOGIA HUMANA DIAGNOSTICA";"4";"9385";"43";"9432"
"5205905 PREVENCAO E DIAGNOSE";"0";"3376";"60";"3436"
"5662648 LABBOS";"3";"10925";"104";"11032"
"5664675 PHD";"0";"14633";"32";"14665"
"5931622 CENTRO DE DIAGNOSTICO SANTA CLARA";"0";"11965";"10";"11975"
"5991080 LABORATORIO VITA LAB";"58";"29529";"26";"29613"
"6002471 VIDALABOR";"0";"7470";"147";"7617"
"6019641 LABORATORIO PREVENCAO E DIAGNOSE";"0";"14098";"41";"14139"
"6694349 PREV IN CITO";"64";"12830";"121";"13015"
"6794858 CENTRO DE APOIO EM PATOLOGIA DE GUARAPUAVA";"9";"14607";"17";"14633"
"6820158 LABORATORIO PASTEUR DE PATOLOGIA";"9";"4995";"5";"5009"
"6867618 LABCELL";"742";"44197";"799";"45738"
"6922392 CITO";"0";"24065";"234";"24299"
"7113358 LABORATORIO LOGOS";"26";"12454";"289";"12769"
"7795971 LABORATORIO EXAME";"5";"6486";"25";"6516"
"9551808 NEOPATHOLOGIA";"1";"5200";"83";"5284"
"Total";"1326";"679963";"4390";"685679"
