"Prestador de serviço";"Exames";"Ins:mat. acelular";"Ins:pres. sangue";"Ins:pres. piocitos";"Ins:pres.art.desec";"Ins:pres.cont.exte";"Ins:pres.sup.celul";"Ins:Outros";" ASC-US";" ASC-H";"Les IE Baixo Grau";"Les IEp Alto Grau";"Exames Alterados"
"2223066 ETHICA";"5631";"2";"2";"0";"6";"0";"1";"2";"168";"10";"46";"5";"232"
"2223155 CENTRAL DE EXAMES COMPLEMENTARES";"199";"1";"0";"0";"0";"0";"0";"0";"6";"1";"0";"2";"9"
"2223538 HOSPITAL GERAL";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"2225794 HISTOMED";"3041";"1";"4";"3";"7";"0";"0";"0";"34";"1";"13";"3";"53"
"2229307 HISTOLAB";"2052";"0";"1";"0";"0";"0";"0";"0";"75";"2";"28";"2";"109"
"2229730 CDC NH";"11722";"10";"7";"4";"355";"2";"1";"7";"31";"23";"67";"30";"169"
"2233576 LABORATORIO SANTA LUCIA CACAPAVA DO SUL";"1759";"1";"3";"8";"5";"0";"0";"0";"28";"10";"12";"6";"60"
"2237121 HOSPITAL SANATORIO PARTENON";"146";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"1";"4"
"2242001 LABORATORIO PASIN";"3787";"18";"5";"5";"1";"0";"0";"1";"44";"0";"6";"0";"51"
"2242257 LABIVIDA LABORATORIO DE ANALISES CLINICAS";"4047";"5";"1";"4";"4";"0";"3";"2";"41";"1";"24";"9";"86"
"2243385 LABIMED ANALISES CLINICAS PINHEIRO";"2642";"2";"3";"1";"15";"0";"0";"0";"10";"2";"2";"3";"22"
"2243504 CENTRO DE DIAGNOSTICO NOSSA SENHORA DO ROSARIO";"610";"0";"0";"0";"0";"0";"0";"0";"3";"0";"1";"0";"4"
"2245078 LABORATORIO BIOS SOLEDADE";"5936";"5";"0";"0";"1";"0";"0";"0";"14";"0";"10";"3";"28"
"2245167 ALPHA LABORATORIOS MARAU";"5403";"11";"2";"2";"10";"0";"1";"0";"4";"3";"6";"4";"20"
"2245213 INSTITUTO DE PATOLOGIA DE PASSO FUNDO E OU IPPF";"19869";"33";"33";"17";"51";"1";"3";"33";"271";"15";"144";"52";"508"
"2246988 HOSPITAL SAO VICENTE DE PAULO";"3423";"0";"0";"0";"0";"0";"0";"0";"14";"12";"9";"14";"53"
"2249308 MEDICINA DIAGNOSTICA";"10831";"0";"13";"4";"6";"0";"0";"4";"181";"63";"65";"20";"332"
"2252287 HOSPITAL BRUNO BORN";"184";"1";"0";"0";"0";"0";"0";"0";"2";"7";"0";"2";"17"
"2252953 SERVICO ESPECIALIZADO DE GINECOLOGIA LTDA";"13117";"57";"0";"0";"4";"0";"0";"0";"0";"0";"42";"0";"42"
"2254433 LABORATORIO DE PATOLOGIA NOROESTE LTDA";"18035";"37";"39";"23";"18";"0";"1";"0";"123";"10";"48";"5";"200"
"2255634 LABORATORIO SANTA CRUZ";"6193";"10";"3";"0";"0";"0";"0";"0";"1";"2";"7";"4";"17"
"2255847 LABORATORIO DE PATOLOGIA ROCHA E GONZATTI";"5245";"0";"0";"0";"0";"0";"0";"0";"31";"2";"36";"1";"74"
"2256150 LABORATORIO DALLA CORTE";"743";"24";"1";"2";"12";"0";"0";"0";"18";"2";"0";"1";"21"
"2261057 HOSPITAL DE CARIDADE DE IJUI";"245";"0";"1";"1";"0";"0";"0";"0";"8";"0";"5";"1";"15"
"2261987 SANTA CASA DE CARIDADE DE BAGE";"7851";"3";"69";"52";"199";"0";"0";"0";"183";"11";"37";"17";"261"
"2262843 INSTITUTO DE GINECOLOGIA";"979";"0";"0";"0";"0";"0";"0";"0";"8";"1";"7";"5";"21"
"2266547 LABORATORIO DE PATOLOGIA CIRURGICA CITOPATOLOGICO LTDA";"3488";"3";"5";"0";"8";"0";"0";"0";"1";"14";"8";"9";"37"
"2707969 HOSPITAL BENEFICIENTE SANTA LUZIA";"5497";"42";"1";"1";"5";"14";"0";"0";"101";"0";"77";"2";"184"
"3488330 LABORATORIO DE PATOLOGIA ROCHA E GONZATTI LTDA";"7066";"5";"0";"1";"2";"0";"0";"0";"37";"1";"47";"3";"95"
"3771016 DIAGNOSE";"11324";"8";"10";"15";"35";"0";"0";"1";"493";"76";"150";"72";"821"
"3971945 LABORATORIO DIAGNOSTIKA";"2935";"1";"4";"3";"0";"0";"1";"0";"5";"2";"31";"11";"56"
"5210917 BIOANALISE WM";"4029";"9";"4";"13";"186";"11";"39";"0";"41";"13";"29";"5";"97"
"5258138 EDELWEISS CLINICA DE DIAGNOSTICOS";"15051";"5";"13";"3";"17";"1";"2";"0";"144";"22";"57";"19";"267"
"5329922 CENTRO DE MEDICINA DIAGNOSTICA";"15681";"44";"12";"2";"17";"2";"2";"1";"112";"35";"69";"26";"252"
"5362423 BIOCITO";"5655";"25";"10";"9";"0";"0";"2";"0";"42";"7";"9";"3";"64"
"5753058 LABORATORIO DE PATOLOGIA ROCHA E GONZATTI LTDA";"5970";"3";"0";"0";"0";"0";"0";"0";"27";"0";"38";"2";"71"
"5851009 ICAP";"7294";"0";"2";"1";"0";"0";"0";"3";"173";"36";"56";"14";"285"
"6123791 MEDICINA DIAGNOSTICA";"10461";"2";"16";"8";"0";"0";"0";"0";"136";"49";"48";"30";"271"
"6248624 LABORATORIO LABSUL";"11734";"8";"6";"0";"15";"3";"1";"0";"346";"16";"69";"6";"618"
"6258603 LABORATORIO OSVALDO CRUZ BOSSOROCA";"6637";"2";"0";"0";"0";"0";"0";"0";"24";"4";"12";"4";"45"
"6269680 INSTITUTO DE ANATOMIA PATOLOGIA E CITOPATOLOGIA DKJ";"22084";"41";"5";"2";"19";"0";"0";"32";"1143";"19";"56";"6";"1335"
"6534694 LABORATORIO CITO";"17595";"5";"2";"1";"28";"2";"0";"0";"376";"38";"199";"46";"661"
"6771114 CITOMED LABORATORIO DE CITOLOGIA CLINICA LTDA";"1743";"4";"4";"7";"3";"0";"0";"0";"68";"4";"29";"10";"118"
"7176090 LAB ANATOP CITOP ZANELLA LTDA";"23535";"68";"43";"102";"143";"2";"25";"10";"296";"68";"143";"80";"622"
"Total";"311470";"496";"324";"294";"1172";"38";"82";"97";"4864";"582";"1744";"538";"8307"
