"Prestador de serviço";"Rejeitada";"Satisfatória";"Insatisfatória";" Total"
"2223155 CENTRAL DE EXAMES COMPLEMENTARES";"0";"17617";"88";"17705"
"2225794 HISTOMED";"0";"3550";"1";"3551"
"2229730 CDC NH";"0";"11322";"155";"11477"
"2231786 CGC VIAMAO";"14";"51819";"21";"51854"
"2233576 LABORATORIO SANTA LUCIA CACAPAVA DO SUL";"0";"1994";"16";"2010"
"2237121 HOSPITAL SANATORIO PARTENON";"0";"903";"3";"906"
"2239450 CPM CENTRO DE PATOLOGIA MEDICA";"0";"14335";"30";"14365"
"2242001 LABORATORIO PASIN";"11";"3944";"43";"3998"
"2242257 LABIVIDA LABORATORIO DE ANALISES CLINICAS";"1";"12888";"29";"12918"
"2243229 LABORATORIO DR TUIUTI LEANDRO GUERRA";"0";"4653";"29";"4682"
"2243385 LABIMED ANALISES CLINICAS PINHEIRO";"0";"1178";"8";"1186"
"2245078 LABORATORIO BIOS SOLEDADE";"0";"5735";"9";"5744"
"2245167 ALPHA LABORATORIOS MARAU";"3";"5477";"11";"5491"
"2245213 INSTITUTO DE PATOLOGIA DE PASSO FUNDO E OU IPPF";"55";"20430";"179";"20664"
"2246988 HOSPITAL SAO VICENTE DE PAULO";"0";"737";"0";"737"
"2249308 MEDICINA DIAGNOSTICA";"1";"11859";"17";"11877"
"2252287 HOSPITAL BRUNO BORN";"0";"195";"0";"195"
"2252953 SERVICO ESPECIALIZADO DE GINECOLOGIA LTDA";"25";"7045";"86";"7156"
"2254433 LABORATORIO DE PATOLOGIA NOROESTE LTDA";"49";"14613";"213";"14875"
"2255634 LABORATORIO SANTA CRUZ";"0";"5761";"30";"5791"
"2255847 LABORATORIO DE PATOLOGIA ROCHA E GONZATTI";"0";"8639";"1";"8640"
"2261057 HOSPITAL DE CARIDADE DE IJUI";"0";"441";"4";"445"
"2261987 SANTA CASA DE CARIDADE DE BAGE";"2";"6627";"665";"7294"
"2707675 HOSPITAL UNIVERSITARIO DR MIGUEL RIET CORREA JR";"56";"2607";"79";"2742"
"2707969 HOSPITAL BENEFICIENTE SANTA LUZIA";"0";"3857";"6";"3863"
"3488330 LABORATORIO DE PATOLOGIA ROCHA E GONZATTI LTDA";"0";"7838";"5";"7843"
"3508528 HOSPITAL UNIVERSITARIO";"0";"14195";"7";"14202"
"3691314 LABORATORIO DE CITOPATOLOGIA";"0";"2953";"11";"2964"
"3771016 DIAGNOSE";"2";"7225";"11";"7238"
"3883965 CLINICA DEWES";"1";"5339";"9";"5349"
"3971945 LABORATORIO DIAGNOSTIKA";"0";"822";"0";"822"
"5210917 BIOANALISE WM";"22";"2999";"27";"3048"
"5258138 EDELWEISS CLINICA DE DIAGNOSTICOS";"0";"27505";"78";"27583"
"5329922 CENTRO DE MEDICINA DIAGNOSTICA";"16";"9167";"51";"9234"
"5362423 BIOCITO";"105";"4804";"25";"4934"
"5753058 LABORATORIO DE PATOLOGIA ROCHA E GONZATTI LTDA";"0";"8599";"5";"8604"
"5851009 ICAP";"0";"10629";"7";"10636"
"5893046 LABORATORIO NUCLEO";"5";"5333";"0";"5338"
"6123791 MEDICINA DIAGNOSTICA";"0";"8774";"11";"8785"
"6248624 LABORATORIO LABSUL";"4";"13535";"20";"13559"
"6258603 LABORATORIO OSVALDO CRUZ BOSSOROCA";"2";"5562";"2";"5566"
"6269680 INSTITUTO DE ANATOMIA PATOLOGIA E CITOPATOLOGIA DKJ";"41";"22334";"54";"22429"
"6534694 LABORATORIO CITO";"0";"13528";"14";"13542"
"6771114 CITOMED LABORATORIO DE CITOLOGIA CLINICA LTDA";"0";"3852";"28";"3880"
"7160518 LABORATORIO DE ANALISES CLINICAS SANTIAGO DO BOQUEIRAO LTDA";"0";"2041";"74";"2115"
"7176090 LAB ANATOP CITOP ZANELLA LTDA";"127";"24504";"479";"25110"
"9379541 CITOLABOR";"5";"1052";"3";"1060"
"Total";"547";"420816";"2644";"424007"
